暗記マニア　原稿入力FMT　※10問１セットで1シートに入力してください。※コメントに要件が書いてあります。必ず読んでから入力してください。文字数制限はありませんが、長すぎると極端に小さな文字になるおそれがあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
,英語,【単語】数を表す語をしっかり覚えているか試そう！,3,0,0,1 ,テキスト,「9」はnine，「10」はten，「11」はどれ？,26,,,,0,,テキスト,3,eleven,6,,seven,5,,twelve,6,,1,テキスト,似たつづりの「数」を区別しよう。「11」はelevenだよ。,30,,
,英語,【単語】曜日を表す語が区別できているか試そう！,3,0,0,2 ,テキスト,「月曜日」はMonday，「水曜日」はWednesday，「木曜日」はどれ？,38,,,,0,,テキスト,3,Thursday,8,,Tuesday,7,,Sunday,6,,1,テキスト,Tで始まる「曜日」を区別しよう。「木曜日」はThursdayだよ。,33,,
,英語,【単語】数を表す語をしっかり覚えているか試そう！,3,0,0,3 ,テキスト,「11」はeleven，「12」はtwelve，「13」はどれ？,32,,,,0,,テキスト,3,thirteen,8,,thirty,5,,three,5,,1,テキスト,"teenで終わるのが10の位の数，tyで終わるのが20, 30, 40などの数だよ。",42,,
,英語,【単語】曜日を表す語が区別できているか試そう！,3,0,0,4 ,テキスト,「木曜日」はThursday，「金曜日」はFriday，「土曜日」はどれ？,37,,,,0,,テキスト,3,Saturday,8,,Sunday,6,,Monday,6,,1,テキスト,Sで始まる「曜日」を区別しよう。「日」Sunで始まるSundayが「日曜日」だよ。,41,,
,英語,【単語】数を表す語をしっかり覚えているか試そう！,3,0,0,5 ,テキスト,「12」はtwelve，「13」はthirteen，「14」はどれ？,34,,,,0,,テキスト,3,fourteen,8,,forty,7,,fifteen,7,,1,テキスト,"teenで終わるのが10の位の数，tyで終わるのが20, 30, 40などの数だよ。",42,,
,英語,【単語】曜日を表す語が区別できているか試そう！,3,0,0,6 ,テキスト,「月曜日」はMonday，「水曜日」はWednesday，「日曜日」はどれ？,38,,,,0,,テキスト,,Sunday,6,,Saturday,9,,Wednesday,9,,1,テキスト,Sで始まる「曜日」を区別しよう。「日」Sunで始まるSundayが「日曜日」だよ。,41,,
,英語,【単語】数を表す語をしっかり覚えているか試そう！,3,0,0,7 ,テキスト,「4」はfour，「10」はten，「40」はどれ？,26,,,,0,,テキスト,,forty,5,,fourteen,5,,fifty,5,,1,テキスト,"tyで終わるのが20, 30, 40などの数，teenで終わるのが10の位の数だよ。",42,,
,英語,【単語】曜日を表す語が区別できているか試そう！,3,0,0,8 ,テキスト,「日曜日」はSunday，「月曜日」はMonday，「火曜日」はどれ？,35,,,,0,,テキスト,,Tuesday,7,,Thursday,8,,Saturday,8,,1,テキスト,Tで始まる「曜日」を区別しよう。「火曜日」はTuessdayだよ。,33,,
,英語,【単語】数を表す語をしっかり覚えているか試そう！,3,0,0,9 ,テキスト,「5」はfive，「10」はten，「15」はどれ？,26,,,,0,,テキスト,,fifteen,7,,fifty,8,,fourteen,8,,1,テキスト,"teenで終わるのが10の位の数，tyで終わるのが20, 30, 40などの数だよ。",42,,
,英語,【単語】数を表す語をしっかり覚えているか試そう！,3,0,0,10 ,,「10」はten，「11」はeleven，「12」はどれ？,29,,,,0,,テキスト,3,twelve,6,,twenty,6,,two,3,,1,テキスト,twで始まる「数」を区別しよう。「12」はtwelveだよ。,30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
