【国語】暗記マニア　原稿入力FMT　※10問１セットで1シートに入力してください。※コメントに要件が書いてあります。必ず読んでから入力してください。文字数制限はありませんが、長すぎると極端に小さな文字になるおそれがあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,1 ,テキスト,"下線部の漢字はどれ？
国をおさめる王。",20,,テキスト,"＜それぞれの漢字を使った熟語＞
治…治安、統治、政治
収…回収、吸収、買収
修…修学旅行、修了証",48,,テキスト,3,治,1,,収,1,,修,1,,1,テキスト,"＜同訓異字を正しく使い分けよう＞
治…乱れたものを整える。おだやかな状態になる。
　（例）「領地を治める。」「症状が治まる。」
収…外から中に入れる。しまっておく。
　（例）「本を棚に収める。」「成功を収める。」
修…学問などが身につく。
　（例）「大学では英文学を修めた。」",138,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,2 ,テキスト,"下線部の漢字はどれ？
地元の会社につとめる。",23,,テキスト,"＜それぞれの漢字を使った熟語＞
努…努力、怒号
勤…勤勉、勤労感謝の日
務…職務、義務、事務",46,,テキスト,3,勤,1,,努,1,,務,1,,1,テキスト,"＜同訓異字を正しく使い分けよう＞
努…力をつくして一心にはげむ。
　（例）「解決するように努める。」
勤…毎日仕事に精を出す。
　（例）「市役所に勤める。」「父の勤め先へ行く。」
務…与えられた役目をする。
　（例）「司会を務める。」「主役を務める。」",126,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,3 ,テキスト,"下線部の漢字はどれ？
自分の姿を鏡にうつす。",23,,テキスト,"＜それぞれの漢字を使った熟語＞
写…写生、実写、書写
映…映画、映像、反映
移…移動、移転、移住",48,,テキスト,3,映,1,,写,1,,移,1,,1,テキスト,"＜同訓異字を正しく使い分けよう＞
写…ものの形を別のところにそのまま表す。
　（例）「写真に写る。」「ノートに書き写す。」
映…かげや形を光によって別のところに表す。
　（例）「スクリーンに映す。」「壁に影が映る。）
移…場所や位置をかえる。
　（例）「机をとなりの部屋へ移す。」「風邪を移す。」",148,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,4 ,テキスト,"下線部の漢字はどっち？
鳥の大群があらわれる。",24,,テキスト,"＜それぞれの漢字を使った熟語＞
現…出現、再現、現場
表…表裏、表明、表示",37,,テキスト,2,現,1,,表,1,,,0,,1,テキスト,"漢字の意味を覚えて正しく使い分けよう。
現…かくれていたものを見えるようにする。
　（例）「姿を現す。」「突然現れる。」
表…おもてに出して知らせる。
　（例）「感情が顔に表れる。」「言葉に表す。」",99,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,5 ,テキスト,"下線部の漢字はどっち？
チームメートの期待にこたえる。",28,,テキスト,"＜それぞれの漢字を使った熟語＞
答…回答、答案、答辞
応…応援、反応、対応",37,,テキスト,2,応,1,,答,1,,,0,,1,テキスト,"漢字の意味を覚えて正しく使い分けよう。
答…相手の問いにこたえる。
　（例）「質問に答える。」
応…相手にひびき、おうじる。
　（例）「全校生徒の期待に応える。」",81,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,6 ,テキスト,"下線部の漢字はどれ？
短距離選手がスタートのたいせいをとる。",31,,,,0,,テキスト,3,体勢,2,,体制,2,,態勢,2,,1,テキスト,"＜熟語の意味＞
体勢…何かをするときの体の構え。
体制…社会・集団があるまとまったはたらきをするしくみ。
態勢…あることに対する準備ができた状態・態度。",76,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,7 ,テキスト,"下線部の漢字はどれ？
中学生をたいしょうにしたアンケート。",30,,,,0,,テキスト,3,対象,2,,対照,2,,対称,2,,1,テキスト,"＜熟語の意味＞
対象…目当てとするもの。相手。
対照…あるものをほかのものと比べ合わせること。
対称…たがいに対応してつり合っていること。",69,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,8 ,テキスト,"下線部の漢字はどっち？
ぜったい絶命（ぜつめい）の大ピンチ。",31,,,,0,,テキスト,2,絶体,2,,絶対,2,,,0,,1,テキスト,"絶体絶命…追いつめられて、もうどうにもならないこと。
「絶体」を「絶対」と書かないように注意しよう！",51,,
,国語,【漢字】どっちだ！？同音・同訓異字！,3,3,3,9 ,テキスト,"下線部の漢字はどれ？
きみの将来はほしょうされている。",28,,,,0,,テキスト,3,保証,2,,保障,2,,補償,2,,1,テキスト,"＜熟語の意味＞
保証…人物や製品について、確かでまちがいないということを受けあうこと。
保障…よそからの危害がないように、責任をもって守ること。
補償…相手にあたえた損害を、金などでつぐなうこと。",98,,
