【数学】暗記マニア　原稿入力FMT　※10問１セットで1シートに入力してください。※コメントに要件が書いてあります。必ず読んでから入力してください。文字数制限はありませんが、長すぎると極端に小さな文字になるおそれがあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,2,1,1 ,テキスト,自然数はどれ？,7,,,,0,,テキスト,3,3,1,,3.5,2,,-3,2,,1,テキスト,「自然数」は1，2，3…のような「整数のうち，負の整数と０を除いた，正の整数」のこと。負の数や小数はふくまないよ。,57,,
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,2,1,2 ,テキスト,自然数はどれ？,7,,,,0,,図版,3,,0,,,0,,,0,,1,テキスト,「自然数」は整数のうち，負の整数と０を除いた，正の整数のこと。負の数や分数はふくまないよ。,45,,解答領域：数式なので図版にしてください。（選択肢の数式の書体、揃えてください）
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,2,1,3 ,テキスト,自然数ではないものはどれ？,13,,,,0,,テキスト,3,0,1,,,2,,37,2,,1,テキスト,「自然数」は1，2，3…のような「整数のうち，負の整数と０を除いた，正の整数」のこと。０は自然数ではないよ。,54,,
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,2,1,4 ,テキスト,整数はどれ？,6,,,,0,,図版,3,,1,,,0,,,0,,1,図版,"「整数」は，小数や分数はふくまないよ。
",20,AM1701_ 1 ,"解答領域：数式なので図版にしてください。（選択肢の数式の書体、そろえてください）
解説領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。"
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,2,1,5 ,テキスト,整数はどれ？,6,,,,0,,図版,3,,0,,,0,,,0,,1,図版,「整数」は，小数や分数はふくまないよ。０も整数。,24,AM1701_ 1 ,"解答領域：数式なので図版にしてください。（選択肢の数式の書体、そろえてください）
解説領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。"
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,0,0,6 ,テキスト,正の数でも負の数でもない数はどれ？,17,,,,0,,テキスト,3,,0,,,0,,,0,,1,図版,「０」は正の整数でも負の整数でもない数だよ。,22,AM1701_ 2,解説領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
1,数学,あやふや撃退!数学用語マスター～Lv1～,3,0,0,7 ,テキスト,絶対値がもっとも大きいのはどれ？,16,,,,0,,テキスト,3,-7,2,,,1,,0,1,,1,テキスト,「絶対値」は原点０との距離。もっとも絶対値が大きいのは、距離がいちばん遠い「-7」だね。０の絶対値は０だよ。,54,,
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,0,0,8 ,テキスト,絶対値がもっとも小さいのはどれ？,16,,,,0,,テキスト,3,-1,2,,-8,0,,,0,,1,テキスト,「絶対値」は原点０との距離。もっとも絶対値が小さいのは、距離がいちばん近い「-1」だね。,44,,
1,数学,【用語】あやふや撃退!数学用語マスター～Lv1～,3,0,1,9 ,テキスト,３と４の最小公倍数はどれ？,13,,,,0,,テキスト,3,12,2,,6,2,,24,2,,1,図版,"たとえば，３と４の共通な倍数を，3と４の「公倍数」という。公倍数のうちいちばん小さい数を「最小公倍数」というよ。
＜最小公倍数のみつけ方＞
大きいほうの４の倍数を小さい順に考え,小さいほうの３でわって最初にわりきれる数をみつけるといいよ。",120,AM1701_ 3,解説領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
